References,Value,Quantity,Part,Link,Actual Total Cost (CNY)
N/A,Case Bottom,1,3D Printed/Aluminum CNC,"(ATC is CNC, 10 piece discount price)","2,417.63"
N/A,Case Top,1,3D Printed/Aluminum CNC,"(ATC is CNC, 10 piece discount price)",1432.58
N/A,Plate,1,Resin 3D Print/POM CNC,(ATC is CNC),283.59
N/A,Switch,1,Resin 3D Print,N/A,6.7
N/A,Jog Wheel,1,CNC Aluminum,N/A,137.48
N/A,M2*6 Screw,3,"M2*6, countersunk",N/A,1.21
N/A,Foam,1,Poron foam 3mm;52cm*15cm,N/A,15
N/A,M2*6 Screw,3,M2*6 philips,N/A,2.66
N/A,M2*22 Screw,6,M2*22 philips,N/A,1.83
N/A,M2*3*3.5 Heatset-insert,9,M2*3*3.5 Heatset-insert,N/A,0.07
N/A,M3*3*4.5 Heatset-insert,9,M3*3*4.5 Heatset-insert,N/A,1.84
,,,,TOTAL,2302.59
