Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_W_SMD_HandSolder,1,RaspberryPi_Pico_W,
"C10, C11, C12, C3, C4, C5, C6, C7, C8, C9",1206,10,0.1uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,24,1N4148WS,
J1,PinSocket_1x03_P2.54mm_Horizontal,1,MOD Power,
J2,PinSocket_1x03_P2.54mm_Horizontal,1,MOD I/O,
J3,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,Dial_PowerConn,
J4,JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal,1,Dial_MagEncoderConn,
J5,JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal,1,Dial_MotorControlConn,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED_MX_6028R,21,SK6812MINI-E,
O1,PinHeader_1x04_P2.54mm_Vertical,1,OLED_Display,
"R5, R6, R7, R8",0805,4,8.2k,
"RENC1, RENC2",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,2,RotaryEncoder_Switch,
"ST_LA1, ST_LA2",STAB_MX_2u,2,2u,
ST_LE1,STAB_MX_3u,1,3u,
"SW_LA1, SW_LA2",SW_Hotswap_Kailh_MX_Plated_2.00u,2,SW_Push_45deg,
"SW_LB1, SW_LB2, SW_LB3, SW_LB4, SW_LC1, SW_LC2, SW_LC3, SW_LC4, SW_LD1, SW_LD2, SW_LD3, SW_LD4, SW_LE1, SW_RB1, SW_RB2, SW_RB3",SW_Hotswap_Kailh_MX_Plated_1.00u,16,SW_Push_45deg,
SW_LE2,SW_Hotswap_Kailh_MX_Plated_3.00u,1,SW_Push_45deg,
SW_MOD1,SolderWire-0.127sqmm_1x02_P3.7mm_D0.48mm_OD1mm,1,Conn_01x02_Socket,
"SW_RA1, SW_RA2",SW_Hotswap_Kailh_MX_Plated_1.50u,2,SW_Push_45deg,
TP1,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,SDA,
TP2,TestPoint_THTPad_D1.5mm_Drill0.7mm,1,SCL,
"TP_3V1, TP_GND1, TP_VBUS1",TestPoint_THTPad_D1.5mm_Drill0.7mm,3,VSYS test point,
"TP_KCOL1, TP_KCOL2, TP_KCOL3, TP_KCOL4, TP_KROW1, TP_KROW2, TP_KROW3, TP_KROW4, TP_KROW5, TP_KROW6, TP_LED1, TP_LED2",TestPoint_THTPad_D1.5mm_Drill0.7mm,12,TestPoint,
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC238,
U3,SOT-23-6_Handsoldering,1,SN74LVC1T45DBV,
