Designator,Mid X,Mid Y,Rotation,Layer
A1,152.174966,-94.430171,0.0,top
C10,87.884,-155.956,270.0,top
C11,209.804,-88.9,270.0,top
C12,89.408,-139.192,270.0,top
C3,134.555,-105.791,180.0,top
C4,153.162,-79.248,270.0,bottom
C5,157.48,-82.296,270.0,bottom
C6,89.408,-80.772,270.0,top
C7,89.408,-122.428,270.0,top
C8,200.406,-60.96,270.0,top
C9,89.408,-103.124,270.0,top
D1,79.502,-64.008,180.0,bottom
D10,88.392,-111.506,270.0,bottom
D11,107.696,-111.506,270.0,bottom
D12,126.492,-111.506,270.0,bottom
D13,69.596,-130.556,270.0,bottom
D14,88.392,-130.556,270.0,bottom
D15,107.696,-130.556,270.0,bottom
D16,126.492,-130.556,270.0,bottom
D17,69.596,-149.606,270.0,bottom
D18,107.696,-149.606,270.0,bottom
D19,194.564,-53.594,270.0,bottom
D2,109.474,-63.754,180.0,bottom
D20,223.012,-53.594,270.0,bottom
D21,189.992,-80.772,270.0,bottom
D22,208.788,-80.772,270.0,bottom
D23,228.092,-80.772,270.0,bottom
D24,218.694,-70.612,0.0,bottom
D3,63.754,-61.976,180.0,bottom
D4,128.524,-57.912,270.0,bottom
D5,69.596,-92.456,270.0,bottom
D6,88.392,-92.456,270.0,bottom
D7,107.696,-92.456,270.0,bottom
D8,126.492,-92.456,270.0,bottom
D9,69.596,-111.506,270.0,bottom
H1,53.848,-64.008,0.0,top
H2,89.662,-72.644,0.0,top
H3,162.052,-60.96,0.0,top
H4,200.66,-50.8,0.0,top
H5,224.789831,-96.172598,0.0,top
H6,87.376,-145.034,0.0,top
J1,165.618,-55.2,270.0,top
J2,135.646,-55.2,270.0,top
J3,212.05,-95.5115,180.0,bottom
J4,192.786,-95.758,180.0,bottom
J5,170.852,-106.759002,270.0,bottom
LED1,108.585,-79.756,0.0,bottom
LED10,60.96,-117.856,0.0,bottom
LED11,118.11,-136.906,0.0,bottom
LED12,99.06,-136.906,0.0,bottom
LED13,80.01,-136.906,0.0,bottom
LED14,60.96,-136.906,0.0,bottom
LED15,99.06,-155.956,0.0,bottom
LED16,60.96,-155.956,0.0,bottom
LED17,219.4052,-87.0966,0.0,bottom
LED18,200.3552,-87.0966,0.0,bottom
LED19,181.3052,-87.0966,0.0,bottom
LED2,70.485,-79.756,0.0,bottom
LED20,214.63,-59.944,0.0,bottom
LED21,186.055,-59.944,0.0,bottom
LED3,118.11,-98.806,0.0,bottom
LED4,99.06,-98.806,0.0,bottom
LED5,80.01,-98.806,0.0,bottom
LED6,60.96,-98.806,0.0,bottom
LED7,118.11,-117.856,0.0,bottom
LED8,99.06,-117.856,0.0,bottom
LED9,80.01,-117.856,0.0,bottom
O1,73.474,-53.475,180.0,top
R5,137.176,-70.231,180.0,top
R6,137.176,-73.152,180.0,top
R7,137.176,-77.851,180.0,top
R8,137.176,-80.772,180.0,top
RENC1,61.695,-53.475,0.0,top
RENC2,118.226,-53.554,0.0,top
ST_LA1,70.485,-75.54595,0.0,top
ST_LA2,108.585,-75.54595,0.0,top
ST_LE1,99.06,-151.74595,0.0,top
SW_LA1,70.485,-74.676,0.0,top
SW_LA2,108.585,-74.676,0.0,top
SW_LB1,60.96,-93.726,0.0,top
SW_LB2,80.01,-93.726,0.0,top
SW_LB3,99.06,-93.726,0.0,top
SW_LB4,118.11,-93.726,0.0,top
SW_LC1,60.96,-112.776,0.0,top
SW_LC2,80.01,-112.776,0.0,top
SW_LC3,99.06,-112.776,0.0,top
SW_LC4,118.11,-112.776,0.0,top
SW_LD1,60.96,-131.826,0.0,top
SW_LD2,80.01,-131.826,0.0,top
SW_LD3,99.06,-131.826,0.0,top
SW_LD4,118.11,-131.826,0.0,top
SW_LE1,60.96,-150.876,0.0,top
SW_LE2,99.06,-150.876,0.0,top
SW_MOD1,226.06,-68.652,270.0,top
SW_RA1,186.055,-54.864,0.0,top
SW_RA2,214.63,-54.864,0.0,top
SW_RB1,181.3052,-82.024,0.0,top
SW_RB2,200.3552,-82.024,0.0,top
SW_RB3,219.4052,-82.024,0.0,top
TP1,144.272,-54.61,90.0,top
TP2,137.922,-60.706,90.0,top
TP_3V1,131.826,-112.522,0.0,top
TP_GND1,136.906,-114.808,0.0,top
TP_KCOL1,87.376,-63.754,0.0,top
TP_KCOL2,61.722,-65.278,0.0,top
TP_KCOL3,101.854,-63.754,0.0,top
TP_KCOL4,174.752,-52.07,0.0,top
TP_KROW1,95.25,-63.754,0.0,top
TP_KROW2,125.73,-84.836,0.0,top
TP_KROW3,131.826,-116.586,0.0,top
TP_KROW4,124.206,-141.986,0.0,top
TP_KROW5,175.006,-56.134,0.0,top
TP_KROW6,136.144,-89.154,0.0,top
TP_LED1,165.1,-93.218,270.0,top
TP_LED2,125.73,-81.28,0.0,top
TP_VBUS1,166.37,-58.42,270.0,top
U2,134.555,-97.663,90.0,top
U3,153.162,-84.836,270.0,bottom
