Designator,Mid X,Mid Y,Rotation,Layer
A1,149.6,-145.7625,0.0,top
BT1,110.4675,-68.0,90.0,bottom
C1,134.8875,-86.25,180.0,top
C10,87.0,-161.5,270.0,top
C11,203.75,-93.75,270.0,top
C12,89.154,-148.07,270.0,top
C13,163.83125,-85.7,0.0,top
C14,141.2,-48.6,0.0,top
C15,135.0,-79.0,0.0,top
C16,130.5,-75.25,180.0,top
C17,169.08125,-68.175,0.0,top
C18,158.8,-58.0,90.0,top
C19,161.8,-104.8,270.0,top
C2,145.0,-87.75,0.0,top
C20,158.8,-104.8,270.0,top
C21,156.5,-58.0,270.0,top
C22,163.3875,-129.5,0.0,top
C25,154.75,-124.25,0.0,bottom
C3,136.25,-117.75,0.0,top
C4,93.98,-68.58,180.0,top
C5,93.98,-65.83,180.0,top
C6,89.154,-89.65,270.0,top
C7,89.154,-131.306,270.0,top
C8,200.406,-60.96,270.0,top
C9,88.5,-112.0,270.0,top
D1,72.0,-72.0,0.0,bottom
D10,88.138,-120.384,270.0,bottom
D11,107.442,-120.384,270.0,bottom
D12,126.238,-120.384,270.0,bottom
D13,69.342,-139.434,270.0,bottom
D14,88.138,-139.434,270.0,bottom
D15,107.442,-139.434,270.0,bottom
D16,126.238,-139.434,270.0,bottom
D17,69.342,-158.484,270.0,bottom
D18,107.442,-158.484,270.0,bottom
D19,194.564,-53.594,270.0,bottom
D2,84.19,-72.0,0.0,bottom
D20,223.012,-53.594,270.0,bottom
D21,189.992,-80.772,270.0,bottom
D22,208.788,-80.772,270.0,bottom
D23,228.092,-80.772,270.0,bottom
D24,218.694,-70.612,0.0,bottom
D25,160.43125,-82.6,90.0,top
D26,160.8,-97.8,90.0,top
D27,155.8,-97.8,90.0,top
D3,63.754,-61.976,180.0,bottom
D4,128.75,-54.06,270.0,bottom
D5,69.342,-101.334,270.0,bottom
D6,88.138,-101.334,270.0,bottom
D7,107.442,-101.334,270.0,bottom
D8,126.238,-101.334,270.0,bottom
