Designator,Footprint,Quantity,Value,LCSC Part #
A1,RaspberryPi_Pico_W_SMD_THTdebug,1,RaspberryPi_Pico_W,
BT1,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,FLY.906090.6000,
"C1, C19, C2, C21, C25",0603,5,10uF,
"C10, C11, C12, C14, C18, C3, C4, C5, C6, C7, C8, C9",1206,12,0.1uF,
"C13, C17",0603,2,22uF,
"C15, C16, C20, C22",0603,4,3.3uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D3, D4, D5, D6, D7, D8, D9",D_DO-35_SOD27_P7.62mm_Horizontal,24,1N4148WS,
"D25, D27",D_SMA_Handsoldering,2,SS54,
D26,D_SMA_Handsoldering,1,SS54_optional,
F1,1206,1,"hold=2, trip=3.5",
J1,PinSocket_1x03_P2.54mm_Horizontal,1,MOD Power,
J2,PinSocket_1x02_P2.54mm_Horizontal,1,MOD I/O,
J3,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,Dial_PowerConn,
J4,JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal,1,Dial_MagEncoderConn,
J5,JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal,1,Dial_MotorControlConn,
J6,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_16P,
L1,L_Changjiang_FXL0630,1,4.7uH,
"LED1, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED3, LED4, LED5, LED6, LED7, LED8, LED9",LED_MX_6028R,21,SK6812MINI-E,
O1,PinHeader_1x04_P2.54mm_Vertical,1,OLED_Display,
"Q1, Q2, Q3",SOT-23_Handsoldering,3,AO3415,
R1,2512,1,0.4,
"R10, R11, R14",0603,3,5.1k,
"R12, R13, R5, R6, R7, R8",0805,6,8.2k,
R15,0603,1,37.4k,
R16,0603,1,100k,
"R4, R9",0805,2,1.2k,
"RENC1, RENC2",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,2,RotaryEncoder_Switch,
"ST_LA1, ST_LA2",STAB_MX_2u,2,2u,
ST_LE1,STAB_MX_3u,1,3u,
SW1,SW_SPDT_Shouhan_MSK12C02,1,SW_SPDT,
"SW_LA1, SW_LA2",SW_Hotswap_Kailh_MX_Plated_2.00u,2,SW_Push_45deg,
"SW_LB1, SW_LB2, SW_LB3, SW_LB4, SW_LC1, SW_LC2, SW_LC3, SW_LC4, SW_LD1, SW_LD2, SW_LD3, SW_LD4, SW_LE1, SW_RB1, SW_RB2, SW_RB3",SW_Hotswap_Kailh_MX_Plated_1.00u,16,SW_Push_45deg,
SW_LE2,SW_Hotswap_Kailh_MX_Plated_3.00u,1,SW_Push_45deg,
SW_MOD1,SolderWire-0.127sqmm_1x02_P3.7mm_D0.48mm_OD1mm,1,Conn_01x02_Socket,
"SW_RA1, SW_RA2",SW_Hotswap_Kailh_MX_Plated_1.50u,2,SW_Push_45deg,
TH1,SolderWire-0.127sqmm_1x02_P3.7mm_D0.48mm_OD1mm_Relief,1,"10k, 43C=4.791k",
U1,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.41x3.3mm_ThermalVias,1,HTP4056-42-ESOP8,
U2,SOIC-16_3.9x9.9mm_P1.27mm,1,74HC238,
U3,SOT-23-6_Handsoldering,1,SN74LVC1T45DBV,
U4,Texas_DSBGA-9_1.62x1.58mm_Layout3x3_P0.5mm,1,BQ27427,
U5,SOT-23-6_Handsoldering,1,MT3608L,
