Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C5, C6",1206,5,0.1uf,
C4,1210,1,22uF,
J1,JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal,1,MagEncoderConn,
J2,JST_PH_S8B-PH-K_1x08_P2.00mm_Horizontal,1,MotorControlConn,C20598766
J3,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,MotorOutConn,C22382557
J4,JST_EH_S3B-EH_1x03_P2.50mm_Horizontal,1,PowerConn,C22382557
TP1,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,MagEnc A,
TP10,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,Motor Out W,
TP11,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,3V3,
TP12,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,5V,
TP13,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,GND,
TP2,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,MagEnc B,
TP3,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,MagEnc Z,
TP4,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,MagEnc Out,
TP5,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,MagEnc Push,
TP6,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,Motor Diagnostics,
TP7,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,Motor VIO,
TP8,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,Motor Out U,
TP9,TestPoint_THTPad_D2.0mm_Drill1.0mm,1,Motor Out V,
U1,SO-8_3.9x4.9mm_P1.27mm,1,MT6701CT,
U2,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm_ThermalVias_LargerViaHoles,1,TMC6300,
