Designator,Mid X,Mid Y,Rotation,Layer
C1,55.0,-160.0325,90.0,top
C2,42.296,-176.37,180.0,top
C3,56.774,-179.926,270.0,top
C4,45.09,-181.45,90.0,top
C5,52.964,-181.45,90.0,top
C6,49.789,-181.45,90.0,top
H1,50.0,-173.85641,180.0,top
H2,37.999997,-153.071795,60.0,top
H3,62.000004,-153.071795,300.0,top
H4,30.0,-140.0,0.0,top
H5,70.0,-140.0,0.0,top
H6,30.0,-180.0,0.0,top
H7,70.0,-180.0,0.0,top
J1,42.408,-138.778,0.0,top
J2,31.501,-152.636,90.0,top
J3,38.16152304703363,-169.33847804703365,45.0,bottom
J4,61.5,-138.5325,0.0,top
JP1,68.749,-170.02,0.0,top
JP2,68.749,-172.814,0.0,top
TP1,72.522,-155.542,0.0,top
TP10,32.5,-170.0,45.0,top
TP11,64.5,-146.0,0.0,top
TP12,68.0,-146.0,0.0,top
TP13,71.5,-146.0,0.0,top
TP2,72.522,-158.844,0.0,top
TP3,72.522,-162.146,0.0,top
TP4,72.522,-152.24,0.0,top
TP5,46.614,-152.494,0.0,top
TP6,29.5,-165.956,0.0,top
TP7,72.268,-175.862,0.0,top
TP8,37.474874,-174.974874,45.0,top
TP9,35.0,-172.5,45.0,top
U1,50.0,-160.0,180.0,top
U2,40.846,-180.254,180.0,top
